status,dataset,algo,alpha,beta,gamma,silhouette,db_inv,sse_term,elapsed,silhouette_n,db_inv_n,sse_term_n
OK,clean_hospital,GMM,0.35,0.35,0.3,0.3489388017572333,1.0133856724909853,5.966338534335591e-13,11.212259,0.9999999999971342,0.9999999999990131,0.36425997556245615
OK,clean_flights,HC,0.35,0.35,0.3,0.0,0.0,0.0,35.528912,0.0,0.0,0.0
OK,clean_hospital,KMEANS,0.35,0.35,0.3,0.0,0.0,5.878630915390204e-13,6.216724,0.0,0.0,0.35890520480148963
OK,clean_hospital,KMEANSNF,0.35,0.35,0.3,0.0,0.0,3.957945082788683e-13,8.922964,0.0,0.0,0.2416425033271597
OK,clean_rayyan,DBSCAN,0.35,0.35,0.3,0.0,0.0,0.0,4.507663,0.0,0.0,0.0
OK,clean_hospital,KMEANSPPS,0.35,0.35,0.3,0.0,0.0,6.199485369506874e-13,9.921909,0.0,0.0,0.37849417631945576
OK,clean_rayyan,HC,0.35,0.35,0.3,0.0,0.0,0.0,5.213066,0.0,0.0,0.0
OK,clean_rayyan,GMM,0.35,0.35,0.3,0.5406882915630535,2.099066479366884,1.3905543383430086e-12,6.916087,0.9999999999981506,0.9999999999995236,0.16933639233314413
OK,clean_rayyan,KMEANS,0.35,0.35,0.3,0.0,0.0,7.211786723360092e-12,4.288105,0.0,0.0,0.8782238222096908
OK,clean_rayyan,KMEANSNF,0.35,0.35,0.3,0.0,0.0,3.602673714908633e-12,5.054366,0.0,0.0,0.4387198348271878
OK,clean_rayyan,KMEANSPPS,0.35,0.35,0.3,0.0,0.0,5.07127673188279e-12,4.337184,0.0,0.0,0.6175606969256173
OK,clean_beers,DBSCAN,0.35,0.5,0.15,0.0,0.0,0.0,3.807853,0.0,0.0,0.0
OK,clean_flights,KMEANSNF,0.35,0.35,0.3,0.0,0.0,5.59996493620929e-13,45.848432,0.0,0.0,0.20933630582065174
OK,clean_beers,KMEANS,0.35,0.5,0.15,0.0,0.0,5.145883719137601e-13,7.639759,0.0,0.0,0.33975460359803983
OK,clean_beers,GMM,0.35,0.5,0.15,0.23241711174878305,0.8062802971477984,3.771427614651657e-13,14.256156,0.9999999999956973,0.9999999999987598,0.24900677204369823
OK,clean_beers,HC,0.35,0.5,0.15,0.0,0.0,0.0,14.301631,0.0,0.0,0.0
OK,clean_beers,KMEANSPPS,0.35,0.5,0.15,0.0,0.0,4.602984660095899e-13,7.30291,0.0,0.0,0.3039099431537159
OK,clean_flights,DBSCAN,0.35,0.5,0.15,0.0,0.0,0.0,4.830582,0.0,0.0,0.0
